Sample,HI15,HI15,Lc5,Lc5,Lc26,Lc26,M11,M11,SGPv10,SGPv10,TBPv2,TBPv2,Pv11,Pv11,BG,BG
Pv14-01_1,123,129,162,164,313,313,147,149,129,131,246,248,0,0,299,305
Pv14-10_1,121,123,166,166,307,317,149,151,131,133,248,250,154,156,284,299
Pv14-12_1,121,123,164,166,307,319,147,149,131,131,254,256,160,162,305,310
Pv14-16_1,121,121,164,166,323,323,147,149,131,133,244,254,160,162,293,305
Pv14-23_1,121,123,0,0,315,327,145,147,131,131,238,240,160,162,305,310
Pv14-27_1,123,131,0,0,307,317,149,149,131,131,0,0,160,162,299,305
Pv14-01_2,123,129,164,166,315,317,0,0,129,131,248,250,154,156,299,305
Pv14-10_2,123,131,164,166,317,319,149,151,131,133,248,250,154,156,284,284
Pv14-12_2,121,123,164,166,307,319,147,149,131,133,246,256,160,162,305,310
Pv14-16_2,121,123,164,166,307,321,147,149,131,133,244,254,160,162,293,305
Pv14-23_2,121,123,164,166,313,315,147,151,129,131,240,254,160,162,0,0
Pv14-27_2,129,131,166,168,305,307,0,0,0,0,240,252,160,162,299,305
