,sample_0,sample_1,raw_score,corrected_score,normalized_score,resampled
0,virtsim_236_0,virtsim_244_2,10,1.25,-0.148571428571,False
1,virtsim_236_0,virtsim_109_4,11,1.38,-0.0742857142857,False
2,virtsim_236_0,virtsim_109_1,11,1.38,-0.0742857142857,False
3,virtsim_236_0,virtsim_74_2,9,1.13,-0.217142857143,False
4,virtsim_236_0,virtsim_246_2,9,1.13,-0.217142857143,False
5,virtsim_236_0,virtsim_228_1,13,1.63,0.0685714285714,False
6,virtsim_236_0,virtsim_38_3,14,1.75,0.137142857143,False
7,virtsim_236_0,virtsim_58_4,10,1.25,-0.148571428571,False
8,virtsim_236_0,virtsim_58_2,12,1.5,-0.00571428571429,False
9,virtsim_236_0,virtsim_107_2,12,1.5,-0.00571428571429,False
10,virtsim_236_0,virtsim_263_3,12,1.5,-0.00571428571429,False
11,virtsim_236_0,virtsim_275_1,13,1.63,0.0685714285714,False
12,virtsim_236_0,virtsim_105_1,13,1.63,0.0685714285714,False
13,virtsim_236_0,virtsim_114_3,11,1.38,-0.0742857142857,False
14,virtsim_236_0,virtsim_223_1,12,1.5,-0.00571428571429,False
15,virtsim_236_0,virtsim_239_3,13,1.63,0.0685714285714,False
16,virtsim_236_0,virtsim_66_3,11,1.38,-0.0742857142857,False
17,virtsim_236_0,virtsim_188_3,11,1.38,-0.0742857142857,False
18,virtsim_236_0,virtsim_37_2,10,1.25,-0.148571428571,False
19,virtsim_236_0,virtsim_190_4,13,1.63,0.0685714285714,False
20,virtsim_236_0,virtsim_37_4,11,1.38,-0.0742857142857,False
21,virtsim_236_0,virtsim_235_4,12,1.5,-0.00571428571429,False
22,virtsim_236_0,virtsim_28_4,12,1.5,-0.00571428571429,False
23,virtsim_236_0,virtsim_14_4,11,1.38,-0.0742857142857,False
24,virtsim_236_0,virtsim_48_1,13,1.63,0.0685714285714,False
25,virtsim_236_0,virtsim_265_3,13,1.63,0.0685714285714,False
