,sample_0,sample_1,raw_score,corrected_score,normalized_score,resampled
0,virtsim_36_0,virtsim_30_1,14,1.75,0.12,False
1,virtsim_36_0,virtsim_64_5,12,1.5,-0.005,False
2,virtsim_36_0,virtsim_30_4,13,1.63,0.06,False
3,virtsim_36_0,virtsim_17_2,12,1.5,-0.005,False
4,virtsim_36_0,virtsim_17_3,11,1.38,-0.065,False
5,virtsim_36_0,virtsim_32_4,13,1.63,0.06,False
6,virtsim_36_0,virtsim_32_3,13,1.63,0.06,False
7,virtsim_36_0,virtsim_87_1,11,1.38,-0.065,False
8,virtsim_36_0,virtsim_26_5,12,1.5,-0.005,False
9,virtsim_36_0,virtsim_74_1,5,0.63,-0.44,False
10,virtsim_36_0,virtsim_74_4,6,0.75,-0.38,False
11,virtsim_36_0,virtsim_90_1,12,1.5,-0.005,False
12,virtsim_36_0,virtsim_38_5,13,1.63,0.06,False
13,virtsim_36_0,virtsim_58_2,13,1.63,0.06,False
14,virtsim_36_0,virtsim_24_3,15,1.88,0.185,False
15,virtsim_36_0,virtsim_77_4,12,1.5,-0.005,False
16,virtsim_36_0,virtsim_24_1,15,1.88,0.185,False
17,virtsim_36_0,virtsim_24_4,15,1.88,0.185,False
18,virtsim_36_0,virtsim_24_5,16,2.0,0.245,False
19,virtsim_36_0,virtsim_22_2,10,1.25,-0.13,False
20,virtsim_36_0,virtsim_71_4,13,1.63,0.06,False
21,virtsim_36_0,virtsim_71_5,13,1.63,0.06,False
22,virtsim_36_0,virtsim_79_4,11,1.38,-0.065,False
23,virtsim_36_0,virtsim_52_2,11,1.38,-0.065,False
24,virtsim_36_0,virtsim_79_2,11,1.38,-0.065,False
25,virtsim_36_0,virtsim_79_3,11,1.38,-0.065,False
26,virtsim_36_0,virtsim_34_3,13,1.63,0.06,False
27,virtsim_36_0,virtsim_66_3,11,1.38,-0.065,False
28,virtsim_36_0,virtsim_10_3,11,1.38,-0.065,False
29,virtsim_36_0,virtsim_10_1,11,1.38,-0.065,False
30,virtsim_36_0,virtsim_37_2,13,1.63,0.06,False
31,virtsim_36_0,virtsim_37_1,13,1.63,0.06,False
32,virtsim_36_0,virtsim_16_5,11,1.38,-0.065,False
33,virtsim_36_0,virtsim_96_2,9,1.13,-0.19,False
34,virtsim_36_0,virtsim_96_4,10,1.25,-0.13,False
35,virtsim_36_0,virtsim_63_2,12,1.5,-0.005,False
36,virtsim_36_0,virtsim_28_2,13,1.63,0.06,False
37,virtsim_36_0,virtsim_14_1,12,1.5,-0.005,False
38,virtsim_36_0,virtsim_94_5,10,1.25,-0.13,False
39,virtsim_36_0,virtsim_94_4,10,1.25,-0.13,False
40,virtsim_36_0,virtsim_20_1,12,1.5,-0.005,False
41,virtsim_36_0,virtsim_97_4,14,1.75,0.12,False
42,virtsim_36_0,virtsim_3_3,14,1.75,0.12,False
43,virtsim_36_0,virtsim_92_5,12,1.5,-0.005,False
44,virtsim_36_0,virtsim_69_2,12,1.5,-0.005,False
45,virtsim_36_0,virtsim_92_3,12,1.5,-0.005,False
46,virtsim_36_0,virtsim_86_5,12,1.5,-0.005,False
47,virtsim_36_0,virtsim_75_4,11,1.38,-0.065,False
48,virtsim_36_0,virtsim_75_5,9,1.13,-0.19,False
49,virtsim_36_0,virtsim_25_3,13,1.63,0.06,False
50,virtsim_36_0,virtsim_25_2,13,1.63,0.06,False
51,virtsim_36_0,virtsim_25_4,12,1.5,-0.005,False
52,virtsim_36_0,virtsim_60_5,12,1.5,-0.005,False
53,virtsim_36_0,virtsim_59_2,13,1.63,0.06,False
54,virtsim_36_0,virtsim_51_4,10,1.25,-0.13,False
55,virtsim_36_0,virtsim_98_5,14,1.75,0.12,False
56,virtsim_36_0,virtsim_88_5,13,1.63,0.06,False
57,virtsim_36_0,virtsim_78_3,14,1.75,0.12,False
58,virtsim_36_0,virtsim_57_4,14,1.75,0.12,False
59,virtsim_36_0,virtsim_33_5,12,1.5,-0.005,False
60,virtsim_36_0,virtsim_33_1,12,1.5,-0.005,False
61,virtsim_36_0,virtsim_61_3,11,1.38,-0.065,False
62,virtsim_36_0,virtsim_12_1,14,1.75,0.12,False
63,virtsim_36_0,virtsim_67_3,8,1.0,-0.255,False
64,virtsim_36_0,virtsim_9_3,12,1.5,-0.005,False
65,virtsim_36_0,virtsim_9_5,13,1.63,0.06,False
66,virtsim_36_0,virtsim_35_2,12,1.5,-0.005,False
67,virtsim_36_0,virtsim_35_3,12,1.5,-0.005,False
68,virtsim_36_0,virtsim_55_2,12,1.5,-0.005,False
69,virtsim_36_0,virtsim_55_3,12,1.5,-0.005,False
70,virtsim_36_0,virtsim_95_4,14,1.75,0.12,False
71,virtsim_36_0,virtsim_84_5,11,1.38,-0.065,False
72,virtsim_36_0,virtsim_46_4,12,1.5,-0.005,False
73,virtsim_36_0,virtsim_90_3,13,1.63,0.06,False
74,virtsim_36_0,virtsim_73_4,13,1.63,0.06,False
75,virtsim_36_0,virtsim_41_1,12,1.5,-0.005,False
76,virtsim_36_0,virtsim_44_5,13,1.63,0.06,False
77,virtsim_36_0,virtsim_27_5,12,1.5,-0.005,False
78,virtsim_36_0,virtsim_72_2,13,1.63,0.06,False
79,virtsim_36_0,virtsim_72_1,13,1.63,0.06,False
80,virtsim_36_0,virtsim_72_5,13,1.63,0.06,False
81,virtsim_36_0,virtsim_68_1,12,1.5,-0.005,False
82,virtsim_36_0,virtsim_93_1,13,1.63,0.06,False
83,virtsim_36_0,virtsim_93_3,13,1.63,0.06,False
84,virtsim_36_0,virtsim_47_5,11,1.38,-0.065,False
85,virtsim_36_0,virtsim_50_4,13,1.63,0.06,False
86,virtsim_36_0,virtsim_89_1,12,1.5,-0.005,False
87,virtsim_36_0,virtsim_89_5,11,1.38,-0.065,False
88,virtsim_36_0,virtsim_56_4,12,1.5,-0.005,False
89,virtsim_36_0,virtsim_56_2,12,1.5,-0.005,False
90,virtsim_36_0,virtsim_6_3,13,1.63,0.06,False
91,virtsim_36_0,virtsim_15_2,11,1.38,-0.065,False
92,virtsim_36_0,virtsim_6_2,13,1.63,0.06,False
93,virtsim_36_0,virtsim_31_2,10,1.25,-0.13,False
94,virtsim_36_0,virtsim_60_3,13,1.63,0.06,False
95,virtsim_36_0,virtsim_82_1,16,2.0,0.245,False
96,virtsim_36_0,virtsim_8_1,14,1.75,0.12,False
97,virtsim_36_0,virtsim_45_3,9,1.13,-0.19,False
98,virtsim_36_0,virtsim_8_2,13,1.63,0.06,False
99,virtsim_36_0,virtsim_0_1,13,1.63,0.06,False
100,virtsim_36_0,virtsim_0_2,13,1.63,0.06,False
101,virtsim_36_0,virtsim_44_4,13,1.63,0.06,False
102,virtsim_36_0,virtsim_0_4,13,1.63,0.06,False
103,virtsim_36_0,virtsim_31_1,10,1.25,-0.13,False
104,virtsim_36_0,virtsim_6_1,12,1.5,-0.005,False
105,virtsim_36_0,virtsim_46_3,13,1.63,0.06,False
106,virtsim_36_0,virtsim_38_4,13,1.63,0.06,False
107,virtsim_36_0,virtsim_40_4,13,1.63,0.06,False
108,virtsim_36_0,virtsim_40_2,12,1.5,-0.005,False
109,virtsim_36_0,virtsim_4_4,12,1.5,-0.005,False
110,virtsim_36_0,virtsim_4_1,11,1.38,-0.065,False
111,virtsim_36_0,virtsim_4_3,12,1.5,-0.005,False
112,virtsim_36_0,virtsim_48_2,12,1.5,-0.005,False
113,virtsim_36_0,virtsim_42_1,12,1.5,-0.005,False
114,virtsim_36_0,virtsim_50_5,14,1.75,0.12,False
115,virtsim_36_0,virtsim_76_5,13,1.63,0.06,False
116,virtsim_36_0,virtsim_76_3,14,1.75,0.12,False
117,virtsim_36_0,virtsim_23_1,11,1.38,-0.065,False
118,virtsim_36_0,virtsim_39_1,12,1.5,-0.005,False
119,virtsim_36_0,virtsim_23_2,11,1.38,-0.065,False
120,virtsim_36_0,virtsim_70_4,11,1.38,-0.065,False
121,virtsim_36_0,virtsim_6_5,13,1.63,0.06,False
122,virtsim_36_0,virtsim_85_5,10,1.25,-0.13,False
123,virtsim_36_0,virtsim_85_2,10,1.25,-0.13,False
124,virtsim_38_0,virtsim_38_5,1,0.13,-0.69,True
125,virtsim_38_0,virtsim_58_2,12,1.5,-0.005,False
126,virtsim_38_0,virtsim_24_3,12,1.5,-0.005,False
127,virtsim_38_0,virtsim_77_4,11,1.38,-0.065,False
128,virtsim_38_0,virtsim_24_1,12,1.5,-0.005,False
129,virtsim_38_0,virtsim_24_4,12,1.5,-0.005,False
130,virtsim_38_0,virtsim_24_5,13,1.63,0.06,False
131,virtsim_38_0,virtsim_22_2,13,1.63,0.06,False
132,virtsim_38_0,virtsim_71_4,9,1.13,-0.19,False
133,virtsim_38_0,virtsim_71_5,10,1.25,-0.13,False
134,virtsim_38_0,virtsim_79_4,15,1.88,0.185,False
135,virtsim_38_0,virtsim_52_2,9,1.13,-0.19,False
136,virtsim_38_0,virtsim_79_2,14,1.75,0.12,False
137,virtsim_38_0,virtsim_79_3,14,1.75,0.12,False
138,virtsim_38_0,virtsim_34_3,10,1.25,-0.13,False
139,virtsim_38_0,virtsim_66_3,12,1.5,-0.005,False
140,virtsim_38_0,virtsim_10_3,11,1.38,-0.065,False
141,virtsim_38_0,virtsim_10_1,11,1.38,-0.065,False
142,virtsim_38_0,virtsim_37_2,11,1.38,-0.065,False
143,virtsim_38_0,virtsim_37_1,13,1.63,0.06,False
144,virtsim_38_0,virtsim_16_5,11,1.38,-0.065,False
145,virtsim_38_0,virtsim_96_2,12,1.5,-0.005,False
146,virtsim_38_0,virtsim_96_4,12,1.5,-0.005,False
147,virtsim_38_0,virtsim_63_2,14,1.75,0.12,False
148,virtsim_38_0,virtsim_28_2,12,1.5,-0.005,False
149,virtsim_38_0,virtsim_14_1,8,1.0,-0.255,False
150,virtsim_38_0,virtsim_94_5,11,1.38,-0.065,False
151,virtsim_38_0,virtsim_94_4,11,1.38,-0.065,False
152,virtsim_38_0,virtsim_20_1,13,1.63,0.06,False
153,virtsim_38_0,virtsim_97_4,12,1.5,-0.005,False
154,virtsim_38_0,virtsim_3_3,9,1.13,-0.19,False
155,virtsim_38_0,virtsim_92_5,14,1.75,0.12,False
156,virtsim_38_0,virtsim_69_2,12,1.5,-0.005,False
157,virtsim_38_0,virtsim_92_3,14,1.75,0.12,False
158,virtsim_38_0,virtsim_86_5,9,1.13,-0.19,False
159,virtsim_38_0,virtsim_75_4,11,1.38,-0.065,False
160,virtsim_38_0,virtsim_75_5,11,1.38,-0.065,False
161,virtsim_38_0,virtsim_25_3,13,1.63,0.06,False
162,virtsim_38_0,virtsim_25_2,13,1.63,0.06,False
163,virtsim_38_0,virtsim_25_4,13,1.63,0.06,False
164,virtsim_38_0,virtsim_60_5,13,1.63,0.06,False
165,virtsim_38_0,virtsim_59_2,11,1.38,-0.065,False
166,virtsim_38_0,virtsim_51_4,14,1.75,0.12,False
167,virtsim_38_0,virtsim_98_5,11,1.38,-0.065,False
168,virtsim_38_0,virtsim_88_5,12,1.5,-0.005,False
169,virtsim_38_0,virtsim_78_3,11,1.38,-0.065,False
170,virtsim_38_0,virtsim_57_4,13,1.63,0.06,False
171,virtsim_38_0,virtsim_33_5,14,1.75,0.12,False
172,virtsim_38_0,virtsim_33_1,14,1.75,0.12,False
173,virtsim_38_0,virtsim_61_3,14,1.75,0.12,False
174,virtsim_38_0,virtsim_12_1,12,1.5,-0.005,False
175,virtsim_38_0,virtsim_67_3,12,1.5,-0.005,False
176,virtsim_38_0,virtsim_9_3,13,1.63,0.06,False
177,virtsim_38_0,virtsim_9_5,13,1.63,0.06,False
178,virtsim_38_0,virtsim_35_2,11,1.38,-0.065,False
179,virtsim_38_0,virtsim_35_3,11,1.38,-0.065,False
180,virtsim_38_0,virtsim_55_2,12,1.5,-0.005,False
181,virtsim_38_0,virtsim_55_3,12,1.5,-0.005,False
182,virtsim_38_0,virtsim_95_4,11,1.38,-0.065,False
183,virtsim_38_0,virtsim_84_5,10,1.25,-0.13,False
184,virtsim_38_0,virtsim_46_4,12,1.5,-0.005,False
185,virtsim_38_0,virtsim_90_3,12,1.5,-0.005,False
186,virtsim_38_0,virtsim_73_4,12,1.5,-0.005,False
187,virtsim_38_0,virtsim_41_1,10,1.25,-0.13,False
188,virtsim_38_0,virtsim_44_5,12,1.5,-0.005,False
189,virtsim_38_0,virtsim_27_5,10,1.25,-0.13,False
190,virtsim_38_0,virtsim_72_2,12,1.5,-0.005,False
191,virtsim_38_0,virtsim_72_1,12,1.5,-0.005,False
192,virtsim_38_0,virtsim_72_5,12,1.5,-0.005,False
193,virtsim_38_0,virtsim_68_1,13,1.63,0.06,False
194,virtsim_38_0,virtsim_93_1,12,1.5,-0.005,False
195,virtsim_38_0,virtsim_93_3,12,1.5,-0.005,False
196,virtsim_38_0,virtsim_47_5,12,1.5,-0.005,False
197,virtsim_38_0,virtsim_50_4,13,1.63,0.06,False
198,virtsim_38_0,virtsim_89_1,12,1.5,-0.005,False
199,virtsim_38_0,virtsim_89_5,12,1.5,-0.005,False
200,virtsim_38_0,virtsim_56_4,12,1.5,-0.005,False
201,virtsim_38_0,virtsim_56_2,12,1.5,-0.005,False
202,virtsim_38_0,virtsim_6_3,11,1.38,-0.065,False
203,virtsim_38_0,virtsim_15_2,12,1.5,-0.005,False
204,virtsim_38_0,virtsim_6_2,12,1.5,-0.005,False
205,virtsim_38_0,virtsim_31_2,13,1.63,0.06,False
206,virtsim_38_0,virtsim_60_3,12,1.5,-0.005,False
207,virtsim_38_0,virtsim_82_1,11,1.38,-0.065,False
208,virtsim_38_0,virtsim_8_1,11,1.38,-0.065,False
209,virtsim_38_0,virtsim_45_3,13,1.63,0.06,False
210,virtsim_38_0,virtsim_8_2,11,1.38,-0.065,False
211,virtsim_38_0,virtsim_0_1,12,1.5,-0.005,False
212,virtsim_38_0,virtsim_0_2,12,1.5,-0.005,False
