,sample_0,sample_1,raw_score,corrected_score,normalized_score,resampled
0,Pv14-30,Pv14-31,6,0.86,-0.178082191781,False
1,Pv14-30,Pv14-18,6,0.86,-0.178082191781,False
2,Pv14-30,Pv14-19,10,1.67,0.376712328767,False
3,Pv14-30,Pv14-34,6,1.2,0.0547945205479,False
4,Pv14-30,Pv14-35,4,0.67,-0.308219178082,False
5,Pv14-30,Pv14-12,6,0.86,-0.178082191781,False
6,Pv14-30,Pv14-13,9,1.29,0.116438356164,False
7,Pv14-30,Pv14-10,8,1.14,0.013698630137,False
8,Pv14-30,Pv14-16,9,1.29,0.116438356164,False
9,Pv14-30,Pv14-17,10,1.43,0.212328767123,False
10,Pv14-30,Pv14-33,7,1.0,-0.0821917808219,False
11,Pv14-30,Pv14-27,3,0.6,-0.356164383562,False
12,Pv14-30,Pv14-23,7,1.17,0.0342465753425,False
13,Pv14-30,Pv14-22,3,0.5,-0.424657534247,False
14,Pv14-30,Pv14-09,9,1.5,0.260273972603,False
15,Pv14-30,Pv14-08,8,1.14,0.013698630137,False
16,Pv14-30,Pv14-25,4,0.67,-0.308219178082,False
17,Pv14-30,Pv14-24,3,0.5,-0.424657534247,False
18,Pv14-30,Pv14-05,5,1.0,-0.0821917808219,False
19,Pv14-30,Pv14-04,7,1.0,-0.0821917808219,False
20,Pv14-30,Pv14-07,8,1.14,0.013698630137,False
21,Pv14-30,Pv14-28,6,1.0,-0.0821917808219,False
22,Pv14-30,Pv14-01,6,1.0,-0.0821917808219,False
23,Pv14-30,Pv14-03,9,1.5,0.260273972603,False
24,Pv14-30,Pv14-02,9,1.29,0.116438356164,False
25,Pv14-30,Pv14-38,5,0.83,-0.198630136986,False
26,Pv14-30,Pv14-39,7,1.0,-0.0821917808219,False
27,Pv14-30,Pv14-43,8,1.14,0.013698630137,False
28,Pv14-30,Pv14-45,5,0.83,-0.198630136986,False
29,Pv14-30,Pv14-44,8,1.14,0.013698630137,False
30,Pv14-30,Pv14-46,7,1.0,-0.0821917808219,False
31,Pv14-31,Pv14-18,8,1.0,-0.0821917808219,False
32,Pv14-31,Pv14-19,9,1.29,0.116438356164,False
33,Pv14-31,Pv14-34,9,1.5,0.260273972603,False
34,Pv14-31,Pv14-35,7,1.0,-0.0821917808219,False
35,Pv14-31,Pv14-12,8,1.0,-0.0821917808219,False
36,Pv14-31,Pv14-13,10,1.25,0.0890410958904,False
37,Pv14-31,Pv14-10,9,1.13,0.00684931506849,False
38,Pv14-31,Pv14-16,11,1.38,0.178082191781,False
39,Pv14-31,Pv14-17,10,1.25,0.0890410958904,False
40,Pv14-31,Pv14-33,2,0.25,-0.595890410959,True
41,Pv14-31,Pv14-27,4,0.67,-0.308219178082,False
42,Pv14-31,Pv14-23,6,0.86,-0.178082191781,False
43,Pv14-31,Pv14-22,7,1.0,-0.0821917808219,False
44,Pv14-31,Pv14-09,10,1.43,0.212328767123,False
45,Pv14-31,Pv14-08,9,1.13,0.00684931506849,False
46,Pv14-31,Pv14-25,6,1.0,-0.0821917808219,False
47,Pv14-31,Pv14-24,6,0.86,-0.178082191781,False
48,Pv14-31,Pv14-05,6,1.0,-0.0821917808219,False
49,Pv14-31,Pv14-04,11,1.38,0.178082191781,False
50,Pv14-31,Pv14-07,10,1.25,0.0890410958904,False
51,Pv14-31,Pv14-28,5,0.71,-0.280821917808,False
52,Pv14-31,Pv14-01,11,1.57,0.308219178082,False
53,Pv14-31,Pv14-03,8,1.14,0.013698630137,False
54,Pv14-31,Pv14-02,10,1.25,0.0890410958904,False
55,Pv14-31,Pv14-38,10,1.43,0.212328767123,False
56,Pv14-31,Pv14-39,6,0.86,-0.178082191781,False
57,Pv14-31,Pv14-43,7,0.88,-0.164383561644,False
58,Pv14-31,Pv14-45,8,1.14,0.013698630137,False
59,Pv14-31,Pv14-44,10,1.25,0.0890410958904,False
60,Pv14-31,Pv14-46,11,1.38,0.178082191781,False
61,Pv14-18,Pv14-19,8,1.14,0.013698630137,False
62,Pv14-18,Pv14-34,5,0.83,-0.198630136986,False
63,Pv14-18,Pv14-35,7,1.0,-0.0821917808219,False
64,Pv14-18,Pv14-12,6,0.75,-0.253424657534,False
65,Pv14-18,Pv14-13,5,0.63,-0.335616438356,False
66,Pv14-18,Pv14-10,7,0.88,-0.164383561644,False
67,Pv14-18,Pv14-16,8,1.0,-0.0821917808219,False
68,Pv14-18,Pv14-17,7,0.88,-0.164383561644,False
69,Pv14-18,Pv14-33,9,1.13,0.00684931506849,False
70,Pv14-18,Pv14-27,6,1.0,-0.0821917808219,False
71,Pv14-18,Pv14-23,7,1.0,-0.0821917808219,False
72,Pv14-18,Pv14-22,6,0.86,-0.178082191781,False
73,Pv14-18,Pv14-09,7,1.0,-0.0821917808219,False
74,Pv14-18,Pv14-08,8,1.0,-0.0821917808219,False
75,Pv14-18,Pv14-25,4,0.67,-0.308219178082,False
76,Pv14-18,Pv14-24,6,0.86,-0.178082191781,False
77,Pv14-18,Pv14-05,6,1.0,-0.0821917808219,False
78,Pv14-18,Pv14-04,7,0.88,-0.164383561644,False
79,Pv14-18,Pv14-07,6,0.75,-0.253424657534,False
80,Pv14-18,Pv14-28,7,1.0,-0.0821917808219,False
81,Pv14-18,Pv14-01,9,1.29,0.116438356164,False
82,Pv14-18,Pv14-03,6,0.86,-0.178082191781,False
83,Pv14-18,Pv14-02,7,0.88,-0.164383561644,False
84,Pv14-18,Pv14-38,8,1.14,0.013698630137,False
85,Pv14-18,Pv14-39,9,1.29,0.116438356164,False
86,Pv14-18,Pv14-43,9,1.13,0.00684931506849,False
87,Pv14-18,Pv14-45,8,1.14,0.013698630137,False
88,Pv14-18,Pv14-44,7,0.88,-0.164383561644,False
89,Pv14-18,Pv14-46,10,1.25,0.0890410958904,False
90,Pv14-19,Pv14-34,6,1.0,-0.0821917808219,False
91,Pv14-19,Pv14-35,10,1.67,0.376712328767,False
92,Pv14-19,Pv14-12,6,0.86,-0.178082191781,False
93,Pv14-19,Pv14-13,6,0.86,-0.178082191781,False
94,Pv14-19,Pv14-10,10,1.43,0.212328767123,False
95,Pv14-19,Pv14-16,4,0.57,-0.376712328767,False
96,Pv14-19,Pv14-17,10,1.43,0.212328767123,False
97,Pv14-19,Pv14-33,9,1.29,0.116438356164,False
98,Pv14-19,Pv14-27,7,1.17,0.0342465753425,False
99,Pv14-19,Pv14-23,8,1.14,0.013698630137,False
100,Pv14-19,Pv14-22,8,1.33,0.143835616438,False
