,sample_0,sample_1,raw_score,corrected_score,normalized_score,resampled
0,Pv14-01_2,Pv14-01_1,4,0.67,-0.260273972603,False
1,Pv14-01_2,Pv14-23_2,6,1.0,-0.0342465753425,False
2,Pv14-01_2,Pv14-23_1,8,1.33,0.191780821918,False
3,Pv14-01_2,Pv14-16_2,9,1.29,0.164383561644,False
4,Pv14-01_2,Pv14-16_1,10,1.43,0.260273972603,False
5,Pv14-01_2,Pv14-12_1,9,1.29,0.164383561644,False
6,Pv14-01_2,Pv14-12_2,9,1.29,0.164383561644,False
7,Pv14-01_2,Pv14-10_1,5,0.71,-0.232876712329,False
8,Pv14-01_2,Pv14-10_2,5,0.71,-0.232876712329,False
9,Pv14-01_2,Pv14-27_2,8,1.33,0.191780821918,False
10,Pv14-01_2,Pv14-27_1,5,1.0,-0.0342465753425,False
11,Pv14-01_1,Pv14-23_2,6,1.0,-0.0342465753425,False
12,Pv14-01_1,Pv14-23_1,8,1.33,0.191780821918,False
13,Pv14-01_1,Pv14-16_2,8,1.14,0.0616438356164,False
14,Pv14-01_1,Pv14-16_1,9,1.29,0.164383561644,False
15,Pv14-01_1,Pv14-12_1,8,1.14,0.0616438356164,False
16,Pv14-01_1,Pv14-12_2,7,1.0,-0.0342465753425,False
17,Pv14-01_1,Pv14-10_1,9,1.29,0.164383561644,False
18,Pv14-01_1,Pv14-10_2,9,1.29,0.164383561644,False
19,Pv14-01_1,Pv14-27_2,7,1.4,0.239726027397,False
20,Pv14-01_1,Pv14-27_1,5,1.0,-0.0342465753425,False
21,Pv14-23_2,Pv14-23_1,4,0.67,-0.260273972603,False
22,Pv14-23_2,Pv14-16_2,5,0.71,-0.232876712329,False
23,Pv14-23_2,Pv14-16_1,6,0.86,-0.130136986301,False
24,Pv14-23_2,Pv14-12_1,5,0.71,-0.232876712329,False
25,Pv14-23_2,Pv14-12_2,6,0.86,-0.130136986301,False
26,Pv14-23_2,Pv14-10_1,9,1.29,0.164383561644,False
27,Pv14-23_2,Pv14-10_2,9,1.29,0.164383561644,False
28,Pv14-23_2,Pv14-27_2,6,1.2,0.102739726027,False
29,Pv14-23_2,Pv14-27_1,6,1.2,0.102739726027,False
30,Pv14-23_1,Pv14-16_2,7,1.0,-0.0342465753425,False
31,Pv14-23_1,Pv14-16_1,8,1.14,0.0616438356164,False
32,Pv14-23_1,Pv14-12_1,5,0.71,-0.232876712329,False
33,Pv14-23_1,Pv14-12_2,6,0.86,-0.130136986301,False
34,Pv14-23_1,Pv14-10_1,11,1.57,0.356164383562,False
35,Pv14-23_1,Pv14-10_2,12,1.71,0.452054794521,False
36,Pv14-23_1,Pv14-27_2,6,1.2,0.102739726027,False
37,Pv14-23_1,Pv14-27_1,6,1.0,-0.0342465753425,False
38,Pv14-16_2,Pv14-16_1,3,0.38,-0.458904109589,False
39,Pv14-16_2,Pv14-12_1,4,0.5,-0.376712328767,False
40,Pv14-16_2,Pv14-12_2,4,0.5,-0.376712328767,False
41,Pv14-16_2,Pv14-10_1,9,1.13,0.0547945205479,False
42,Pv14-16_2,Pv14-10_2,10,1.25,0.13698630137,False
43,Pv14-16_2,Pv14-27_2,7,1.17,0.0821917808219,False
44,Pv14-16_2,Pv14-27_1,5,0.83,-0.150684931507,False
45,Pv14-16_1,Pv14-12_1,6,0.75,-0.205479452055,False
46,Pv14-16_1,Pv14-12_2,6,0.75,-0.205479452055,False
47,Pv14-16_1,Pv14-10_1,11,1.38,0.22602739726,False
48,Pv14-16_1,Pv14-10_2,11,1.38,0.22602739726,False
49,Pv14-16_1,Pv14-27_2,8,1.33,0.191780821918,False
50,Pv14-16_1,Pv14-27_1,7,1.17,0.0821917808219,False
51,Pv14-12_1,Pv14-12_2,2,0.25,-0.547945205479,True
52,Pv14-12_1,Pv14-10_1,10,1.25,0.13698630137,False
53,Pv14-12_1,Pv14-10_2,10,1.25,0.13698630137,False
54,Pv14-12_1,Pv14-27_2,7,1.17,0.0821917808219,False
55,Pv14-12_1,Pv14-27_1,4,0.67,-0.260273972603,False
56,Pv14-12_2,Pv14-10_1,9,1.13,0.0547945205479,False
57,Pv14-12_2,Pv14-10_2,9,1.13,0.0547945205479,False
58,Pv14-12_2,Pv14-27_2,7,1.17,0.0821917808219,False
59,Pv14-12_2,Pv14-27_1,5,0.83,-0.150684931507,False
60,Pv14-10_1,Pv14-10_2,4,0.5,-0.376712328767,False
61,Pv14-10_1,Pv14-27_2,9,1.5,0.308219178082,False
62,Pv14-10_1,Pv14-27_1,6,1.0,-0.0342465753425,False
63,Pv14-10_2,Pv14-27_2,10,1.67,0.424657534247,False
64,Pv14-10_2,Pv14-27_1,7,1.17,0.0821917808219,False
65,Pv14-27_2,Pv14-27_1,2,0.5,-0.376712328767,False
